filename,relative_path,cluster_id,mood_id,mood_name_ko,mood_name_en,tags,color_tag,is_representative,source,notes
003173ba15fc.jpg,003173ba15fc.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
003e0ad2bc74.jpg,003e0ad2bc74.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
00884faa6000.jpg,00884faa6000.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
00e1d32f2692.jpg,00e1d32f2692.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
017ccbeb4150.jpg,017ccbeb4150.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
01a3a801d075.JPG,01a3a801d075.JPG,3,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
01c706b7aedb.jpg,01c706b7aedb.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
01e05d6e5746.jpg,01e05d6e5746.jpg,0,cute_pastel,파스텔 귀여운,cute pastel room decor,"cute,pastel",,False,ohou.se,
02156ebbb775.jpg,02156ebbb775.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
022be5d6c932.jpeg,022be5d6c932.jpeg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
0248d699e896.jpg,0248d699e896.jpg,1,modern_grey,모던 그레이,modern grey industrial studio,"modern,grey",,False,ohou.se,
025d1e5cf719.jpg,025d1e5cf719.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
0285a9357c0d.jpeg,0285a9357c0d.jpeg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
02ca14381de9.jpg,02ca14381de9.jpg,1,modern_grey,모던 그레이,modern grey industrial studio,"modern,grey",,False,ohou.se,
030005148aa9.jpg,030005148aa9.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
03028b10de43.jpg,03028b10de43.jpg,7,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
03598abe2981.jpg,03598abe2981.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
03926d5243b2.jpg,03926d5243b2.jpg,3,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
03a6878d5ac7.jpeg,03a6878d5ac7.jpeg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
03ae67ba4c88.jpg,03ae67ba4c88.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
03c769876d54.jpg,03c769876d54.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
043228701c2f.jpg,043228701c2f.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
047c255a30f5.jpeg,047c255a30f5.jpeg,3,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
049484c2082e.jpg,049484c2082e.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,True,ohou.se,
04999585f349.jpg,04999585f349.jpg,1,modern_grey,모던 그레이,modern grey industrial studio,"modern,grey",,False,ohou.se,
04dc0a188a88.jpeg,04dc0a188a88.jpeg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
04f6de4fd65b.jpg,04f6de4fd65b.jpg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
051c15e337ee.png,051c15e337ee.png,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
0535c682a607.png,0535c682a607.png,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
05790fa5a279.jpg,05790fa5a279.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
0598ff32dc66.jpg,0598ff32dc66.jpg,8,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
06303db52824.jpg,06303db52824.jpg,1,modern_grey,모던 그레이,modern grey industrial studio,"modern,grey",,False,ohou.se,
063bd42c1180.jpg,063bd42c1180.jpg,5,warm_cozy,따뜻한 코지 원룸,warm cozy studio apartment interior,"warm,cozy",,True,ohou.se,
069951a66fea.jpg,069951a66fea.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
07240a43ecce.jpg,07240a43ecce.jpg,3,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
0792b2549b8a.jpg,0792b2549b8a.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
07d32a0db8a7.jpg,07d32a0db8a7.jpg,8,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
07dc68238433.jpg,07dc68238433.jpg,1,modern_grey,모던 그레이,modern grey industrial studio,"modern,grey",,False,ohou.se,
0840c1b68906.jpg,0840c1b68906.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,True,ohou.se,
084c44d994da.jpeg,084c44d994da.jpeg,2,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
085b21a74e3b.jpg,085b21a74e3b.jpg,4,plant_green,플랜트 그린,plant-filled green interior,"plant,green",,False,ohou.se,
08634db0e5ec.jpeg,08634db0e5ec.jpeg,5,warm_cozy,따뜻한 코지 원룸,warm cozy studio apartment interior,"warm,cozy",,False,ohou.se,
089c447eb8ab.jpg,089c447eb8ab.jpg,6,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
